SP95,x,y,nbStations
1.355,588356.7180426981,6221492.029299414,1
1.469,981997.2994602462,6312078.274155443,1
1.349,873383.9573734031,6504111.173284396,1
1.512,1023983.8532228793,6351174.876376647,1
1.48,377274.26105761115,6682264.039199925,1
1.403,893440.3792578131,6690012.64424967,1
1.355,820281.4713812904,6488490.019848066,1
1.402,613301.0570649633,6854882.200124234,1
1.389,362894.34336114797,6573506.474481169,1
1.51,1176310.8441725806,6109581.212295092,1
1.369,646696.4706968426,7039091.724157956,1
1.481,1210792.3561402534,6171219.268700968,1
1.49,504196.06454040355,6282798.9689986445,1
1.53,342223.55939991726,6813398.14426922,1
1.419,965977.2785061931,6521702.242814294,1
1.449,947414.0681457588,6252677.063377863,1
1.369,986565.0253706628,6720989.249180255,1
1.304,656970.2014022334,6844239.6656250395,1
1.45,595720.8334679445,6563839.026052191,1
1.304,748604.7215259363,6912292.230910404,1
1.29,456166.61735059647,6901752.429138025,1
1.45,1231338.9898744957,6123866.14465848,1
1.368,423333.9043772416,6713731.170819797,1
1.389,399131.11768519925,6903757.750953364,1
1.322,496055.51969151327,6942306.351014812,1
1.51,599588.481672836,6855540.456915466,1
1.439,622829.1490930095,6361577.003905384,1
1.33,881119.9083789825,6551625.7050560415,1
1.369,394476.5416486749,6406566.987226367,1
1.62,904992.098330461,6934298.380578328,1
1.448,891906.0252058489,6245028.868161042,1
1.355,704864.5746299701,6959056.771858194,1
1.45,654536.6063155892,6439950.338597718,1
1.49,643272.968226892,6876420.322265126,1
1.448,893528.2685270642,6242406.175332494,1
1.329,426712.94336688885,6922752.348256378,1
1.342,620723.1409836174,6849988.3511606995,1
1.354,850963.225331177,6512313.160537688,1
1.385,458684.1798309452,6916419.142412637,1
1.45,873088.2711256621,6567851.518984998,1
1.389,790422.7758422432,6937450.630593229,1
1.49,475462.96875599516,6235687.692812926,1
1.303,300674.32112227555,6821171.196719516,1
1.49,798381.2116088059,6619079.342833485,1
1.344,581533.1566396191,6284593.290259274,1
1.379,954883.0918675174,6584293.567001153,1
1.292,938182.255989312,6330320.440001653,1
1.331,1043505.7154795133,6299200.424878285,1
1.399,835365.3771030852,6531266.587862773,1
1.375,722522.728183254,6853761.474179763,1
1.42,901779.8857215702,6290726.522259478,1
1.76,651048.9700117378,6868082.001118715,1
1.389,767289.0281537819,6417063.071042843,1
1.345,1024590.862506567,6760720.329260314,1
1.389,788091.2020884282,6450176.355303823,1
1.51,577181.6619956605,6279635.751479539,1
1.369,379703.25369172083,6524180.244977981,1
1.365,829778.7965359892,6341080.492776382,1
1.368,737670.7260163561,6762541.83089367,1
1.409,807493.7159194094,6357407.887535128,1
1.375,604410.2874205995,6636163.496537745,1
1.37,1006998.2597581439,6870831.403271968,1
1.389,775636.1182967614,6439769.129436677,1
1.489,462455.6300915597,6239255.989488747,1
1.359,929163.5441164679,6532769.631305729,1
1.448,1024212.0278427026,6748713.81440703,1
1.369,942440.1507414507,6545210.3094449,1
1.54,345656.9517418122,6793759.512625216,1
1.296,852189.973392068,6517389.40178667,1
1.325,672349.939435224,6870808.965600228,1
1.339,431128.9911583011,6837900.850707827,1
1.463,340973.7066511903,6278178.961827245,1
1.353,604590.8672722428,7020313.219044045,1
1.419,935167.1574935373,6586254.74785437,1
1.359,869685.788319057,6518535.690333951,1
1.359,744270.2106762171,6696490.396354496,1
1.399,981447.2871040283,6416765.4007991,1
1.301,556710.4316566729,6272138.077124543,1
1.44,1235583.499860806,6171673.973821309,1
1.53,796564.4381229499,6320411.999612297,1
1.349,396913.7882892698,6726385.3162103165,1
1.379,921972.6844608254,6460360.786465774,1
1.308,758572.8443155515,6525895.006595298,1
1.34,746584.1086635846,6885959.853078016,1
1.349,770770.8269886696,6439819.317589093,1
1.289,409048.8976750684,6563486.574305293,1
1.445,850238.5006756985,6947648.02176669,1
1.46,777532.6603080671,6660930.415732069,1
1.5,958468.0278728497,6310254.189941289,1
1.458,914689.3830154226,6457458.203711845,1
1.306,505376.0134557873,6269112.473716976,1
1.455,968100.8537923698,6591521.158217145,1
1.449,1020998.0290634583,6811774.040505136,1
1.5,1208059.5286241411,6155060.496816379,1
1.474,815396.3002642958,6308630.16823252,1
1.326,687732.5708401678,7040488.669680504,1
1.314,665995.927037366,6362647.061413411,1
1.5,1206623.1685236203,6108457.486663554,1
1.349,418879.97078563593,6418182.476038667,1
1.292,663604.846138191,6910055.022796923,1
1.329,648703.1429284888,6948789.47655267,1
1.287,1023430.1255577271,6892058.060453473,1
1.302,272225.7148281321,6802026.647490222,1
1.295,797308.0716796621,6490382.43295445,1
1.399,804107.7944820785,6482536.63283844,1
1.359,558491.365539585,6864613.106128709,1
1.369,956665.5188969877,6681040.318713891,1
1.51,385395.0645241278,6232009.868514224,1
1.325,159479.391167996,6844188.646797538,1
1.312,873807.0873235945,6755055.456762938,1
1.419,639428.6435189353,6417642.736415821,1
1.313,954417.68744585,6582964.517359736,1
1.369,571663.8673485767,6967074.195955539,1
1.389,533750.4032779662,6517210.867734643,1
1.5,496379.3153115149,6613344.623419578,1
1.3,917046.0189218335,6429136.655543654,1
1.51,273859.7356130972,6741980.385033738,1
1.311,913133.9684287253,6679713.382409414,1
1.399,788576.6918265559,6711860.348398345,1
1.301,560062.2815466112,6252493.495058038,1
1.362,768324.7349560878,7017737.726845014,1
1.291,1020251.7518141093,6886749.615302835,1
1.457,886391.5095552464,6611060.821574042,1
1.369,816467.8218589347,6686498.265701337,1
1.44,509514.0995519541,6315929.457559909,1
1.355,907938.9533857051,6466996.736493044,1
1.349,755689.7197974983,6887804.59786156,1
1.299,249871.3419109984,6740170.141247224,1
1.304,716948.4465305054,6251937.718806422,1
1.359,981803.7488699893,6679914.267834576,1
1.411,407182.98467453715,6261136.868166137,1
1.46,1231494.757341634,6124015.183868403,1
1.439,845119.620572513,6518113.49583951,1
1.379,181869.63763286202,6853991.298371724,1
1.368,587719.3284848306,6206557.972275501,1
1.438,835152.2359364242,6320948.207964485,1
1.308,782258.7386399948,6551096.958227461,1
1.349,433229.8612151347,6400949.28937114,1
1.382,787244.9258836801,6355416.051252737,1
1.36,926464.4987630065,6503003.924319521,1
1.364,366485.63789396384,6610194.414252399,1
1.365,642003.6588896657,6900474.347032188,1
1.387,572295.1463736624,6460360.299962496,1
1.46,827363.7011966697,6793550.4731625,1
1.465,706601.722350307,6905688.632799702,1
1.359,988251.391565383,6896830.720194125,1
1.404,847733.9457848386,6305905.85858244,1
1.377,973787.2517486848,6668076.0158595005,1
1.338,585765.2450834367,6452986.057247475,1
1.303,582455.4765485014,6452819.072069965,1
1.349,333491.13285772427,6727167.124981241,1
1.369,532651.8923675162,6267836.412925365,1
1.349,836296.8458118779,6300968.133496456,1
1.53,870781.095684743,6526960.43614873,1
1.43,808942.7518761643,6340055.492603263,1
1.301,511681.7290638338,6351388.763174454,1
1.4,910656.3089113907,6612050.938014415,1
1.41,845213.6122049254,6442687.002713807,1
1.54,1224156.1154398727,6073889.64314603,1
1.364,622203.9639697953,6362553.901263048,1
1.379,859012.6194216625,6818291.472396649,1
1.323,633041.7924394229,6492816.188899753,1
1.381,686834.4353672456,6924405.0381699875,1
1.409,676541.5127223,6290373.120698999,1
1.399,697075.6558040623,6323637.642708311,1
1.448,855693.3095351725,6696506.620916545,1
1.308,857978.5716742715,6694567.673074875,1
1.418,845804.824747018,6609856.150571503,1
1.51,1187462.1227766415,6188657.481021534,1
1.47,840906.6253721445,6836927.743420858,1
1.45,395324.57259603596,6253965.4339227835,1
1.319,1037128.6265596361,6834995.932854792,1
1.306,631463.4136061821,6801765.998087552,1
1.521,578232.8256589243,6580573.051314277,1
1.385,639597.1883350328,6583658.942182023,1
1.466,485604.8680508598,6227650.203781666,1
1.294,634190.4744250537,6927376.942951459,1
1.365,424378.06422335363,6276769.329891725,1
1.387,628035.1401504701,6878288.276778024,1
1.356,1044553.344614932,6860821.135055447,1
1.302,669297.5536853106,6581600.399795614,1
1.379,780025.7135771416,6766844.4010616075,1
1.449,999740.2588595646,6856834.085743289,1
1.385,744615.0992010495,6938952.746922394,1
1.291,404401.86021958303,6429844.200589561,1
1.44,953399.7569232322,6699973.639184902,1
1.339,873601.0094943084,6898772.490223008,1
1.385,502027.6282585856,6486237.983220649,1
1.399,742396.1076153041,6516680.816130409,1
1.399,677058.6498160104,6240736.535149506,1
1.46,619896.2681131345,6649210.417093699,1
1.549,937244.0278901035,6493986.871928072,1
1.285,914274.9116373493,6255644.525786376,1
1.444,872027.4204624161,6309757.020882984,1
1.399,725912.658955025,6534764.778328206,1
1.355,826391.925664765,6316809.014919767,1
1.298,231664.51737090532,6764098.257665505,1
1.297,370002.6445711102,6876457.18798421,1
1.359,557060.5584111243,6913262.556529909,1
1.56,666667.453697736,7020143.12018637,1
1.305,903936.0485836436,6577010.8327397825,1
1.334,490609.47511124774,6676191.156040797,1
1.339,857477.2165766675,6547245.9751002295,1
1.29,314707.0938748144,6680483.639898599,1
1.302,570496.3771416978,6304985.657891617,1
1.319,1026103.3634298997,6748120.23232239,1
1.369,564126.6833499623,6930487.996048709,1
1.375,802870.4517379361,6481229.534277066,1
1.42,850403.4927564873,6520522.376987246,1
1.345,871698.8752769352,6571151.710072477,1
1.39,708297.4801772395,7028773.907334221,1
1.89,654442.7738890576,6862027.186725685,1
1.335,596980.6008952878,6683971.628803954,1
1.343,778651.7340565365,7021868.776145691,1
1.478,370418.38056433655,6632470.343702794,1
1.399,935516.5309414603,6347634.78956412,1
1.329,358815.28800970636,6688515.71912085,1
1.409,420260.8078155393,6315548.572508246,1
1.5,1227250.6994810256,6195192.441426337,1
1.295,978975.7180369413,6276422.281324786,1
1.459,863252.8108131719,6656604.309629232,1
1.399,767780.1869757656,6710357.223108642,1
1.399,674597.8340829889,6530077.76712273,1
1.399,831412.2824084474,6351987.755110378,1
1.389,802752.0027805221,6383325.753816887,1
1.305,905516.4711638093,6584029.7286392655,1
1.303,693436.1939005513,6176935.199967059,1
1.38,639785.1649218573,6583537.131835065,1
1.329,1005385.1465681402,6754528.359187702,1
1.362,603252.8898323289,6306348.1701355465,1
1.339,207965.452127671,6764684.969411062,1
1.325,143530.31116180005,6836401.873791877,1
1.52,423139.09852919885,6522434.276495714,1
1.339,594920.9248880772,6257883.307378684,1
1.45,654811.3503256763,6424024.464826289,1
1.29,325442.7278901861,6713187.776402131,1
1.39,509237.7421563056,6907760.515918549,1
1.379,610589.4676041638,6918043.093540693,1
1.304,680103.2282598439,6155733.715285244,1
1.399,424962.26250347623,6241305.843903873,1
1.378,935591.4365869323,6224888.676999821,1
1.369,658236.9188014425,7059959.283310318,1
1.297,943555.49711107,6401837.968964259,1
1.307,840525.1894751419,6582468.7343093725,1
1.297,844329.5568527796,6840602.539756173,1
1.43,520085.7119580626,6324694.611460201,1
1.359,725221.8337606067,6786326.514668955,1
1.419,1030905.9461674319,6745994.7961902125,1
1.469,895019.9918487152,6709304.313400896,1
1.369,719483.77145106,6249333.496415913,1
1.49,1232117.3852164778,6104729.520070049,1
1.3,753319.4744341195,6766835.070607807,1
1.5,1229233.3453607187,6182714.858050133,1
1.409,725674.6336789199,6535029.570996381,1
1.319,999254.3754642811,6898592.593449006,1
1.306,796932.2286988327,6593836.240526509,1
1.378,947228.3817952428,6231857.541833923,1
1.439,323938.2473923049,6671887.009628091,1
1.389,469019.9200224043,6258355.559438351,1
1.449,972721.1006000005,6863343.118751396,1
1.297,361667.19913253357,6961295.7589013465,1
1.301,585427.0313017057,6262682.090895158,1
1.375,402721.2031419126,6867617.846312126,1
1.42,842455.6048081431,6456325.989254082,1
1.29,558901.1347712171,6955394.027891919,1
1.339,164841.30177278153,6778286.973944353,1
