x,y,houhold,phouhold
359500,7634300,5.069306930693069,2.376237623762376
359500,7634500,26.93069306930693,12.623762376237623
355900,7634500,15,4
356100,7634500,39,20
356300,7634500,41.642857142857146,15.142857142857142
356500,7634500,2.357142857142857,0.8571428571428571
359700,7634500,11.421052631578947,0
359700,7634700,2.5789473684210527,0
359900,7634500,12,6
355700,7634700,1.024390243902439,0
355700,7635100,1.3658536585365855,0
355700,7635300,11.609756097560975,0
355900,7634700,20,7
356100,7634700,131,71
356300,7634700,110,58
356500,7634700,54,23
356700,7634700,23,12
359300,7634700,3.0789473684210527,0.9473684210526315
359500,7634700,9.921052631578947,3.0526315789473686
359900,7634700,34,17
360100,7634700,23,10
360300,7634700,6.619718309859155,1.1267605633802817
360300,7634900,40.38028169014085,6.873239436619718
360500,7634900,8.24390243902439,2.5365853658536586
360700,7634700,0.3170731707317073,0.0975609756097561
360500,7634700,4.439024390243903,1.3658536585365855
355900,7634900,15,5
356100,7634900,66,18
356300,7634900,148,84
356500,7634900,91,57
356700,7634900,110,71
357500,7634900,6.672413793103448,1.396551724137931
357500,7635100,36.327586206896555,7.603448275862069
358500,7634900,0.35294117647058826,0.0784313725490196
358500,7635100,17.647058823529413,3.9215686274509802
359100,7634900,1,0.17391304347826086
359100,7635100,22,3.8260869565217392
359300,7634900,27,11
359500,7634900,33,19
359700,7634900,13,3
359900,7634900,39,16
360100,7634900,49,20
355500,7635100,6.769230769230769,1.476923076923077
355500,7635300,48.23076923076923,10.523076923076923
355900,7635100,33,6
356100,7635100,90,54
356300,7635100,111,63
356500,7635100,82,44
356700,7635100,39.669724770642205,22.422018348623855
356900,7635100,6.330275229357798,3.5779816513761467
357100,7635100,6,1
357300,7635100,6,1
357700,7635100,15,3
357900,7635100,16,5
358100,7635100,4.705882352941177,1.3176470588235294
358100,7635300,45.294117647058826,12.68235294117647
358300,7635100,25,5
358700,7635100,11.076923076923077,2.051282051282051
358900,7635100,15.923076923076923,2.948717948717949
359300,7635100,70,23
359500,7635100,45,21
359700,7635100,23,10
359900,7635100,92,55
360100,7635100,49,20
360300,7635100,42,16
360500,7635100,15.661016949152541,7.4576271186440675
360700,7635100,5.338983050847458,2.542372881355932
360900,7635100,7.283333333333333,3.8
361100,7635100,15.716666666666667,8.2
361300,7635100,16,4
362100,7635100,4.078431372549019,2.549019607843137
361900,7635300,8.156862745098039,5.098039215686274
362100,7635300,2.5098039215686274,1.5686274509803921
361900,7635500,1.2549019607843137,0.7843137254901961
354700,7635500,23.98876404494382,4.112359550561798
354700,7635300,11.01123595505618,1.8876404494382022
354900,7635300,11,0
355100,7635300,19,4
355300,7635300,15,8
355900,7635300,39,6
356100,7635300,38,16
356300,7635300,40,11
356500,7635300,9.090909090909092,5.454545454545454
356500,7635500,25.90909090909091,15.545454545454545
356700,7635300,22,5
356900,7635300,15,7
357100,7635300,27,13
357300,7635300,67,32
357500,7635300,98,58
357700,7635300,36,12
357900,7635300,46,14
358300,7635300,63,24
358500,7635300,16,5
358700,7635300,28.623853211009173,8.807339449541285
358700,7635500,10.376146788990825,3.1926605504587156
358900,7635300,53,17
359100,7635300,28,12
359500,7635300,34.642857142857146,17.321428571428573
359300,7635300,5.357142857142857,2.6785714285714284
359700,7635300,28,8
359900,7635300,56,31
360100,7635300,52,24
360300,7635300,14,7
360500,7635300,3.118811881188119,1.0693069306930694
360900,7635300,26.336633663366335,9.029702970297029
360700,7635300,5.544554455445544,1.900990099009901
361100,7635300,44,18
361300,7635300,25,10
361500,7635500,35.776,8.32
361500,7635300,3.44,0.8
361700,7635300,1.032,0.24
361700,7635500,2.752,0.64
362500,7635500,5.958333333333333,3.25
362500,7635300,1.375,0.75
362300,7635500,1.375,0.75
362300,7635300,2.2916666666666665,1.25
354100,7635700,27.44578313253012,6.457831325301205
354100,7635500,6.554216867469879,1.5421686746987953
354300,7635500,14,5
354500,7635500,29,1
354900,7635500,37,14
355100,7635500,28,6
355300,7635500,31,9
355500,7635500,32,14
355700,7635500,23,1
355900,7635500,38,3
356100,7635500,25,5
356300,7635500,36,12
356700,7635500,23,7
356900,7635500,23,10
357100,7635500,138,91
357300,7635500,25,13
357500,7635500,19,10
357700,7635500,58,13
357900,7635500,63,26
358100,7635500,79,35
358300,7635500,50,17
358500,7635500,17,8
359100,7635500,1.6666666666666667,0.7692307692307693
358900,7635500,11.333333333333334,5.230769230769231
359500,7635500,32,20
359900,7635500,28.4375,12.322916666666666
359700,7635500,1.5625,0.6770833333333334
360100,7635500,11,5
360900,7635500,7.5,4
361100,7635500,3,1.6
360500,7635500,1.5,0.8
360700,7635500,1.8,0.96
361100,7636500,1.2,0.64
361300,7635500,38,18
353900,7635700,46.99180327868852,11.508196721311476
353700,7635700,2.0081967213114753,0.4918032786885246
354300,7635700,30,1
354500,7635900,7.932203389830509,1.3220338983050848
354500,7635700,10.067796610169491,1.6779661016949152
354700,7635700,13,3
354900,7635700,12.088888888888889,4.533333333333333
355100,7635700,3.911111111111111,1.4666666666666666
355300,7635700,27,17
355500,7635700,39,7
355700,7635700,26,7
355900,7635700,43,13
356100,7635700,23,9
356300,7635700,51,13
356500,7635700,108,63
356700,7635700,117,46
356900,7635700,86,38
357100,7635700,103,56
357500,7635700,10.89820359281437,5.868263473053892
357300,7635700,54.10179640718563,29.131736526946106
357700,7635700,31,7
357900,7635700,58,17
358100,7635700,64,29
358300,7635700,46,21
358500,7635700,12,2
360100,7635900,5.729166666666667,2.2916666666666665
360100,7636100,2.6041666666666665,1.0416666666666667
360100,7635700,16.666666666666668,6.666666666666667
361500,7635700,38.65546218487395,18.361344537815125
361300,7635700,1.3445378151260505,0.6386554621848739
361700,7635700,32,12
361900,7635700,12,4
362100,7635700,15,2
362300,7635700,26,14
362700,7635700,1.627906976744186,0.3488372093023256
362500,7635700,12.372093023255815,2.6511627906976742
353700,7635900,11.030303030303031,1.696969696969697
353900,7635900,0.7878787878787878,0.12121212121212122
353500,7635900,1.1818181818181819,0.18181818181818182
354100,7635900,20,3
354300,7635900,46,8
355300,7635900,18,4
355500,7635900,3.4693877551020407,0.8163265306122449
355700,7635900,0.3469387755102041,0.08163265306122448
355700,7636100,3.4693877551020407,0.8163265306122449
355500,7636100,9.714285714285714,2.2857142857142856
355900,7635900,15,4
356300,7635900,26,4
356500,7635900,24,9
356700,7635900,37,10
356900,7635900,39,13
357100,7635900,36,11
357500,7635900,43.214285714285715,11.235714285714286
357300,7635900,6.785714285714286,1.7642857142857142
357700,7635900,5.219298245614035,1.3421052631578947
357900,7635900,29.780701754385966,7.657894736842105
358100,7635900,56,17
358300,7635900,41.07142857142857,13.142857142857142
358500,7635900,8.928571428571429,2.857142857142857
359900,7635900,1.2765957446808511,0.5106382978723404
359300,7636500,1.5957446808510638,0.6382978723404256
359700,7636100,1.2765957446808511,0.5106382978723404
359500,7636300,2.234042553191489,0.8936170212765957
359900,7636500,2.5531914893617023,1.0212765957446808
359900,7636300,5.1063829787234045,2.0425531914893615
359700,7636300,0.9574468085106383,0.3829787234042553
361300,7635900,0.36470588235294116,0.15294117647058825
361500,7635900,22.976470588235294,9.635294117647058
361700,7635900,7.658823529411765,3.211764705882353
361900,7635900,75,48
362100,7635900,65,42
362300,7635900,20,6
362500,7635900,17,6
362900,7635900,24,17
364100,7636100,4.609756097560975,1.5365853658536586
363900,7635900,2.3048780487804876,0.7682926829268293
